ROLLS-ROYCE APPLIED SCIENCE LABORATORY
FLAT PLATE TRANSITIONAL BOUNDARY LAYER FLOW
HOT WIRE ANEMOMETRY TEST DATA

SUMMARY DATA FOR
ERCOFTAC T3C3 TEST CASE

KEY : RUN       SINGLE WIRE TEST DATA RUN NUMBER
      X         AXIAL POSITION (MM)
      REX       REYNOLDS NUMBER BASED ON X AND UO
      UO        FREESTREAM VELOCITY (M/S)
      CF        SKIN FRICTION COEFFICIENT
      H         SHAPE FACTOR
      RETHETA   REYNOLDS NUMBER BASED ON MOMENTUM THICKNESS
      DELTA     99% BOUNDARY LAYER THICKNESS (MM)
      TUFS      FREESTREAM TURBULENCE INTENSITY (%)

   RUN         X          REX          UO        CF          H      RETHETA    DELTA      TUFS
 1W01907      95.0     2.760E+04      4.47    0.004936     2.493      96.0      2.65     2.005
 1W01908     195.0     6.050E+04      4.79    0.003296     2.492     141.8      3.69     1.651
 1W01909     395.0     1.314E+05      5.13    0.002447     2.398     207.8      5.25     1.298
 1W01910     595.0     2.143E+05      5.55    0.002181     2.305     255.5      6.22     1.059
 1W02001     695.0     2.644E+05      5.68    0.001975     2.318     277.4      6.35     0.968
 1W02002     795.0     3.096E+05      5.81    0.001769     2.305     306.6      7.09     0.908
 1W02003     895.0     3.536E+05      5.90    0.001530     2.349     339.3      7.80     0.870
 1W02004     995.0     3.890E+05      5.84    0.001260     2.426     379.0      8.73     0.835
 1W02005    1095.0     4.233E+05      5.77    0.000991     2.506     437.1     10.22     0.835
 1W02006    1195.0     4.501E+05      5.62    0.000847     2.542     519.2     12.20     0.857
 1W02010    1260.0     4.674E+05      5.53    0.001298     2.393     592.7     13.80     0.881
 1W02007    1295.0     4.726E+05      5.44    0.001629     2.235     645.4     15.27     0.917
 1W02008    1395.0     4.891E+05      5.23    0.002789     1.760     817.1     20.24     0.968
 1W02009    1495.0     4.971E+05      4.96    0.003407     1.595     988.9     25.18     1.023
