ROLLS-ROYCE APPLIED SCIENCE LABORATORY
FLAT PLATE TRANSITIONAL BOUNDARY LAYER FLOW
HOT WIRE ANEMOMETRY TEST DATA

SUMMARY DATA FOR
ERCOFTAC T3C5 TEST CASE

KEY : RUN       SINGLE WIRE TEST DATA RUN NUMBER
      X         AXIAL POSITION (MM)
      REX       REYNOLDS NUMBER BASED ON X AND UO
      UO        FREESTREAM VELOCITY (M/S)
      CF        SKIN FRICTION COEFFICIENT
      H         SHAPE FACTOR
      RETHETA   REYNOLDS NUMBER BASED ON MOMENTUM THICKNESS
      DELTA     99% BOUNDARY LAYER THICKNESS (MM)
      TUFS      FREESTREAM TURBULENCE INTENSITY (%)

   RUN         X          REX          UO        CF          H      RETHETA    DELTA      TUFS
 1W02205      45.0     2.910E+04      9.65    0.004538     2.513     102.4      1.25     2.455
 1W02206      95.0     6.520E+04     10.24    0.003211     2.470     149.3      1.76     2.127
 1W02207     145.0     1.037E+05     10.66    0.002607     2.427     189.8      2.21     1.877
 1W02208     195.0     1.430E+05     10.93    0.002292     2.377     225.1      2.61     1.744
 1W02209     245.0     1.825E+05     11.11    0.002076     2.324     261.5      3.03     1.634
 1W02210     295.0     2.233E+05     11.29    0.001914     2.276     295.3      3.48     1.547
 1W02301     345.0     2.658E+05     11.48    0.001896     2.186     332.4      3.93     1.454
 1W02302     420.0     3.314E+05     11.77    0.002357     1.963     384.3      4.71     1.350
 1W02303     495.0     4.024E+05     12.13    0.003102     1.748     457.0      5.78     1.260
 1W02304     570.0     4.739E+05     12.46    0.003428     1.609     539.9      6.84     1.174
 1W02305     645.0     5.491E+05     12.77    0.004831     1.535     644.8      7.87     1.095
 1W02306     720.0     6.244E+05     13.03    0.004702     1.480     763.0      8.96     1.040
 1W02307     795.0     7.001E+05     13.25    0.004545     1.455     881.6      9.93     0.994
 1W02308     895.0     8.025E+05     13.40    0.004244     1.448    1074.2     11.32     0.941
 1W02309     995.0     8.895E+05     13.36    0.003943     1.444    1294.4     13.27     0.923
 1W02310    1095.0     9.585E+05     13.09    0.003639     1.454    1524.7     15.16     0.925
 1W02401    1195.0     1.018E+06     12.77    0.003346     1.474    1798.3     17.56     0.931
 1W02402    1295.0     1.067E+06     12.35    0.003034     1.493    2120.6     20.84     0.940
 1W02403    1395.0     1.108E+06     11.90    0.002692     1.532    2532.4     24.85     0.961
 1W02404    1495.0     1.128E+06     11.29    0.002268     1.592    3004.8     29.25     1.000
